cats,Freq,CategoryPolly,Notes
CLERGY HOUSE,13,ECC,
CLINIC,16,PUBINST,
CLOCK TOWER,48,omit,
CLOISTER,8,omit,as open arcade attached to religious building so would ignore
CLOTHING WORKSHOP,3,MAN,
CLUB,37,PUBINST,
CLUBHOUSE,13,PUBINST,
CLUSTER BLOCK,1,HOUSING,would need to check this one
COACH HOUSE,97,TRANS,
COACH WORKS,1,TRANS,
COACHING INN,5,TRANS,
COACHMANS COTTAGE,5,HOUSING,
COAL BUNKER,1,omit,
COAL DEPOT,1,IND,
COAL DROP,1,IND,
COAL DUTY BOUNDARY MARKER,42,omit,
COAL EXCHANGE,1,IND,
COAL JETTY,1,omit,
COAL SHED,7,IND,
COAT OF ARMS,92,omit,
COCKPIT,1,omit,
COFFEE BAR,1,COM,
COFFEE HOUSE,7,COM,
COLD STORE,4,omit,will be part of large house/palace
COLLEGE LODGINGS,2,HOUSING,Could count as EDU too
COLLEGIATE CHAPEL,7,ECC,Could count as EDU too
COLLEGIATE CHURCH,2,ECC,Could count as EDU too
COLONNADE,23,omit,
COLOUR HOUSE,1,IND,
COLUMBARIUM,2,omit,
COLUMN,49,omit,
COMMAND POST,1,omit,
COMMEMORATIVE MONUMENT,475,omit,
COMMEMORATIVE STONE,3,omit,
COMMERCIAL ART GALLERY,2,COM,
COMMERCIAL OFFICE,105,COM,
COMMUNITY CENTRE,27,PUBINST,
COMPOUND STEAM ENGINE,1,TRANS,
COMPREHENSIVE SCHOOL,5,EDU,
COMPRESSOR HOUSE,1,IND,
CONCERT HALL,17,PUBINST,
CONCRETE FRAMED BUILDING,115,unknown,
CONDUIT,3,omit,
CONDUIT HEAD,3,omit,
CONDUIT HOUSE,7,omit,
CONFERENCE CENTRE,8,PUBINST,Could be COM
CONGREGATIONAL CHAPEL,39,ECC,
CONSERVATORY,60,GAR,Not sure I would include these- greenhouses or attached to a house
CONTINUOUS JETTY HOUSE,1,HOUSING,
CONTROL ROOM,1,TRANS,
CONTROL TOWER,3,TRANS,
CONVALESCENT HOME,2,PUBINST,
CONVALESCENT HOSPITAL,1,PUBINST,
CONVENT SCHOOL,7,EDU,
COOKHOUSE,1,omit,will prob be attached to large house/Kenwood?
COOPERAGE,2,MAN,
CORN DRYING KILN,1,omit,
CORN EXCHANGE,2,COM,
CORN MILL,4,MAN,
CORONATION STONE,1,omit,
CORONERS COURT,4,PUBINST,
COTTAGE HOME,3,HOUSING,
COTTAGE HOSPITAL,1,PUBINST,
COTTAGE ORNEE,20,HOUSING,
COTTON MILL,1,IND,
COUNCIL FLAT,1,HOUSING,
COUNCIL FLATS,27,HOUSING,
COUNCIL HOUSING ESTATE,1,HOUSING,
COUNTESS OF HUNTINGDONS CHAPEL,1,ECC,
COUNTRY CLUB,1,PUBINST,
COUNTRY HOUSE,36,HOUSING,
COUNTY COURT,4,PUBINST,
COUNTY HALL,2,PUBINST,
COURT HOUSE,8,PUBINST,
COURT ROOM,2,PUBINST,
COURTYARD,90,omit,
COURTYARD HOUSE,2,HOUSING,
COVERED WAY,26,omit,
COVERED YARD,1,omit,
COW HOUSE,3,AGR,
CRAFT CENTRE,1,COM,
CRANE,6,omit,
CRANE HOUSE,1,IND,
CREMATORIUM,4,PUBINST,
CRESCENT,25,HOUSING,
CRICKET PAVILION,2,SPORT,
CROSS,10,omit,
CROSS PASSAGE HOUSE,1,HOUSING,
CROSS SLAB,1,omit,
CROSS WING HOUSE,7,HOUSING,
CROWN COURT,2,PUBINST,
CRYPT,7,omit,
CULVERT,3,omit,
CURTAIN WALL,15,omit,
CUSTOM HOUSE,3,PUBINST,
DAIRY,12,MAN,
DANCE HALL,3,ENT,
DANCE STUDIO,3,ENT,
DATE STONE,227,omit,
DAY CENTRE,2,PUBINST,
DEANERY,2,ECC,
DECONTAMINATION BUILDING,1,PUBINST,
DEDICATION STONE,1,omit,
DEER HOUSE,1,ZOO,
DENTAL DEPARTMENT,1,PUBINST,
DENTAL HOSPITAL,1,PUBINST,
DEPARTMENT STORE,20,COM,
DERRICK,2,omit,
DETACHED HOUSE,394,HOUSING,
DIORAMA,1,ENT,
DIRECTION STONE,1,omit,
DISINFECTOR HOUSE,3,PUBINST,
DISPENSARY,11,COM,
DISTILLERY,7,MAN,
DISTRIBUTION CENTRE,1,COM,
DIVING PLATFORM,1,omit,
DOCK,13,omit,
DOCK BASIN,3,omit,
DOCK GATE,2,omit,
DOCK WORKERS COTTAGE,2,HOUSING,
DOCKMASTERS OFFICE,2,TRANS,
DOCKYARD,10,omit,
DOG TROUGH,14,omit,
DOGS HOME,1,ZOO,
DOMESTIC CHAPEL,72,ECC,
DOMINICAN FRIARY,3,ECC,
DOMINICAN NUNNERY,1,ECC,
DORIC TEMPLE,4,ECC,Probably monument
DORMITORY,4,HOUSING,also ECC?
DOUBLE PILE HOUSE,2,HOUSING,
DOVECOTE,6,omit,
DOWER HOUSE,2,HOUSING,
DRAMA SCHOOL,2,EDU,
DRAW DOCK,2,omit,
DRAWBRIDGE,1,omit,
DRAWING OFFICE,9,COM,
DRILL HALL,2,MIL,
DRILL TOWER,1,MIL,?
DRINKING FOUNTAIN,110,omit,
DRIVE,1,omit,
DROVERS INN,1,ENT,could be COM
DRY DOCK,4,omit,
DRYING HOUSE,1,MAN,
DRYING KILN,2,MAN,
DUTY POST,3,omit,
DWELLING,23,HOUSING,
EASTERN ORTHODOX CATHEDRAL,1,ECC,
EATING HOUSE,1,COM,or part of religious blg large house?
ECCLESIASTICAL OFFICE,2,ECC,
EFFIGY,4,omit,
ELECTRICAL GOODS FACTORY,5,MAN,
ELECTRICITY PRODUCTION SITE,2,MAN,if building
ELECTRICITY PYLON,1,omit,
ELECTRICITY SUB STATION,7,omit,
ELEMENTARY SCHOOL,56,EDU,
EMBANKMENT,3,omit,
EMBASSY,13,PUBINST,
ENGINE,2,omit,
ENGINE HOUSE,21,TRANS,
ENGINE SHED,2,TRANS,
ENGINEERING WORKS,3,IND,
ENGINEERING WORKSHOP,3,IND,
ENGINEERS HOUSE,3,HOUSING,
ERECTING SHOP,1,IND,
ESTATE BUILDING,3,HOUSING,could be COM
ESTATE COTTAGE,25,HOUSING,
ESTATE OFFICE,5,COM,
EXCHANGE,3,COMM,telecommunications?
EXCISE OFFICE,1,COM,
EXEDRA,4,omit,
EXHIBITION HALL,13,PUBINST,
EXPLOSIVES FACTORY,1,MAN,
EYE HOSPITAL,1,PUBINST,
FACADE,2,omit,
FACTORY,26,MAN,
FACULTY BUILDING,1,EDU,
FAMILY VAULT,10,omit,
FARM,2,AGR,
FARM BUILDING,3,AGR,
FARM LABOURERS COTTAGE,1,HOUSING,
FARMHOUSE,107,HOUSING,
FARMYARD,3,omit,
FENCE,15,omit,
FERMENTING BLOCK,2,AGR,if building
FERNERY (GARDEN),1,omit,
FIELD CENTRE,1,PUBINST,
FILM STUDIO,5,MAN,
FILTER HOUSE,2,IND,
FIRE ENGINE HOUSE,3,TRANS,
FIRE STATION,47,TRANS,
FIREPROOF BUILDING,5,unknown,
FISHMONGERS SHOP,1,COM,
FISHPOND,2,omit,
FIVES COURT,1,SPORT,also could omit
FLAGPOLE,3,omit,
FLANKING TOWER,2,omit,
FLATS,194,HOUSING,
FLOCK MILL,1,MAN,
FLOOD DEFENCES,9,omit,
FLOUR MILL,3,MAN,
FLOWER MARKET,1,COM,only if covered
FODDER STORE,2,AGR,
FOLLY,14,GAR,
FOOTBRIDGE,36,omit,
FORECOURT,87,omit,
FOREIGN LANGUAGE INSTITUTE,2,EDU,
FOREMANS HOUSE,2,HOUSING,
FORGE,5,MAN,
FORMAL GARDEN,9,omit,
FORTIFIED HOUSE,1,HOUSING,
FORTRESS,1,MIL,or could be HOUSING
FOUNDRY,3,MAN,
FOUNTAIN,41,omit,
FRANCISCAN FRIARY,1,ECC,
FREE SCHOOL,4,EDU,
FREEMASONS HALL,6,PUBINST,
FRIENDS BURIAL GROUND,1,omit,
FRIENDS MEETING HOUSE,11,PUBINST,
FRUIT AND VEGETABLE WAREHOUSE,1,COM,
FRUIT STORE,1,COM,
FUNCTION ROOM,5,unknown,are these separate?
FUNERAL DIRECTORS,4,COM,
FURNITURE FACTORY,3,MAN,
FURTHER EDUCATION COLLEGE,27,EDU,
GABLED HOUSE,5,HOUSING,
GAME LARDER,1,omit,will be part of large house/palace
GAMING HOUSE,2,ENT,
GANTRY,1,omit,
GANTRY CRANE,1,omit,
GARAGE,179,TRANS,
GARDEN,15,omit,
GARDEN BUILDING,11,GAR,Could omit if just sheds. I have sep category for under 10x10ft
GARDEN CENTRE,1,COM,
GARDEN FEATURE,7,omit,
GARDEN HOUSE,14,GAR,
GARDEN ORNAMENT,11,omit,
GARDEN PATH,1,omit,
GARDEN PORCH,2,omit,
GARDEN RETREAT,1,GAR,or omit
GARDEN SCREEN,19,omit,
GARDEN SEAT,6,omit,
GARDEN STEPS,11,omit,
GARDEN SUBURB,157,HOUSING,if Hampstead Garden then it is housing
GARDEN TEMPLE,15,GAR,
GARDEN TERRACE,34,omit,
GARDEN WALL,354,omit,
GAS HOLDER,9,omit,
GAS HOUSE,1,IND,
GAS LAMP,28,omit,
GATE,770,omit,
GATE LODGE,44,omit,
GATE PIER,742,omit,
GATEHOUSE,53,HOUSING,
GAUGE HOUSE,1,IND,
GAZEBO,15,omit,could include under GAR 
GENERAL HOSPITAL,2,PUBINST,
GENTLEMENS CLUB,20,PUBINST,
GIN PALACE,7,ENT,presume they mean a pub
GIRAFFE HOUSE,1,ZOO,
GIRDER BRIDGE,1,omit,
GLASS WORKS,1,MAN,
GLASSHOUSE,3,GAR,
GOLF CLUB,11,PUBINST,
GOODS CLEARING HOUSE,1,TRANS,?
GOODS YARD,4,omit,unless buildings
GOVERNMENT OFFICE,26,PUBINST,
GRAFFITI,5,omit,
GRAIN SILO,2,omit,
GRAIN WAREHOUSE,3,AGR,
GRAMMAR SCHOOL,13,EDU,
GRANARY,18,AGR,
GRAND HOTEL,7,ENT,
GRANDSTAND,6,SPORT,
GRANGE,1,HOUSING,check
GRAVE MARKER,2,omit,
GRAVE SLAB,9,omit,
GRAVEBOARD,1,omit,
GRAVESTONE,79,omit,
GREAT HALL,10,HOUSING,
GREAT HOUSE,3,HOUSING,
GREEK ORTHODOX CHURCH,5,ECC,
GRILLE,9,omit,
GROCERS SHOP,1,COM,
GROTTO,18,omit,
GUARDHOUSE,8,MIL,
GUEST HOUSE,2,ENT,
GUILD CHAPEL,2,PUBINST,
GUILDHALL,5,PUBINST,
GUN EMPLACEMENT,3,omit,
GUN TESTING SHOP,1,MAN,or MIL
GUNPOWDER WORKS,4,IND,or MIL
GYMNASIUM (SPORTS),8,SPORT,
HA HA,5,omit,
HALL HOUSE,23,HOUSING,
HALL OF RESIDENCE,16,HOUSING,could also be EDU
HAND PUMP,1,omit,
HANGAR,2,TRANS,
HARD,1,omit,
HARDWARE SHOP,2,COM,
HAT FACTORY,1,MAN,
HAY BARN,1,AGR,
HAYLOFT,7,AGR,
HEALTH WORKERS HOUSE,2,HOUSING,
HERB DISTILLERY,1,MAN,
HERBARIUM,1,GAR,
HIDING PLACE,1,omit,
HIPPOPOTAMUS HOUSE,1,ZOO,
HOIST,2,omit,
HOME GUARD SHELTER,1,MIL,
HOMELESS HOSTEL,2,HOUSING,
HOP EXCHANGE,1,AGR,could also be COM
HOP STORE,1,AGR,
HORSE ENGINE,1,omit,
HORSE HOSPITAL,1,ZOO,
HORSE TROUGH,15,omit,
HORSE TUNNEL,1,omit,
HOSPITAL,81,PUBINST,
HOSPITAL BLOCK,1,PUBINST,
HOSPITAL BUILDING,2,PUBINST,
HOSPITAL FOR FISTULA AND RECTAL DISEASES,1,PUBINST,
HOSPITAL FOR PEOPLE WITH LEARNING DIFFICULTIES,2,PUBINST,
HOSPITAL LAUNDRY,1,PUBINST,
HOSPITAL WARD,3,PUBINST,
HOSPITALLERS CHURCH,1,ECC,
HOSPITALLERS PRECEPTORY,3,ECC,
HOSTEL,12,ENT,could be HOUSING
HOTEL,108,ENT,
HOUSE,4838,HOUSING,
HOUSE OF DETENTION,2,PUBINST,
HOUSING ESTATE,18,HOUSING,
HUGUENOT CHURCH,3,ECC,
HUNTING LODGE,3,GAR,
HUT,1,omit,
HYDRAULIC ACCUMULATOR TOWER,8,omit,
HYDRAULIC ENGINE,1,omit,
HYDRAULIC ENGINE HOUSE,1,IND,
HYDRAULIC POWER SITE,1,IND,if buildings
HYDRAULIC PUMPING STATION,2,IND,
ICEHOUSE,20,omit,"usually part of large house/palace, could put under GAR"
INCINERATOR,1,omit,
INCURABLES HOSPITAL,1,PUBINST,
INDEPENDENT METHODIST CHAPEL,1,ECC,
INDOOR SWIMMING POOL,1,SPORT,
INDUSTRIAL BUILDING,13,IND,
INDUSTRIAL SCHOOL,2,EDU,
INDUSTRIAL SITE,1,omit,unless buildings
INEBRIATE REFORMATORY,1,PUBINST,
INFANT SCHOOL,21,EDU,
INFECTIOUS DISEASES HOSPITAL,4,PUBINST,
INFIRMARY,8,PUBINST,
INFORMATION CENTRE,2,PUBINST,
INN,43,ENT,
INN SIGN,7,omit,
INNS OF CHANCERY,8,PUBINST,
INNS OF COURT,42,PUBINST,
INSCRIBED STONE,4,omit,
INSTITUTE,30,PUBINST,
INSTITUTE FOR THE BLIND,1,PUBINST,
INSTITUTE FOR THE DEAF,1,PUBINST,
IONIC TEMPLE,1,ECC,?
IRON WORKS,1,IND,
ISLAND,1,omit,
ITALIAN GARDEN,3,omit,
JETTIED BUILDING,3,HOUSING,check
JETTIED HOUSE,57,HOUSING,
JETTY,1,omit,
JEWELLERY SHOP,2,COM,
JEWELLERY WORKSHOP,2,MAN,
JEWISH CEMETERY,5,omit,
JEWISH SCHOOL,2,EDU,
JIB CRANE,6,omit,
JOINERS SHOP,1,MAN,
JUNIOR SCHOOL,14,EDU,
KEEP,2,omit,
KENNELS,1,ZOO,
KERBSTONE,4,omit,
KIOSK,6,omit,
KISSING GATE,2,omit,
KITCHEN,14,omit,
KITCHEN GARDEN,5,omit,
LABORATORY,13,IND,
LABOUR EXCHANGE,1,PUBINST,
LADIES COLLEGE,2,EDU,
LADY CHAPEL,1,ECC,
LAITERIE,2,COM,
LAKE,2,omit,
LAMP BRACKET,113,omit,
LAMP POST,328,omit,
LANDING STAGE,2,omit,
LANDING STEPS,7,omit,
LANDSCAPE PARK,5,omit,
LAUNDRY,25,MAN,often attached to houses
LAW COURT,3,PUBINST,
LAW SCHOOL,1,PUBINST,
LEARNED SOCIETY BUILDING,15,PUBINST,
LEATHER MARKET,2,COM,
LEATHER WAREHOUSE,2,IND,could be COM
LECTURE THEATRE,13,PUBINST,
LEGAL CHAMBERS,30,PUBINST,
LEGAL OFFICE,3,PUBINST,could be COM
LENDING LIBRARY,2,PUBINST,
LETTER BOX,4,omit,
LIBRARY,55,PUBINST,
LIDO,4,SPORT,
LIFT,1,omit,
LIGHT ENGINEERING WORKS,1,IND,
LIGHTHOUSE,1,HOUSING,
LILY POND,1,omit,
LIME KILN,1,omit,
LITERARY AND SCIENTIFIC INSTITUTE,3,PUBINST,
LITERARY INSTITUTE,2,PUBINST,
LIVERY HALL,17,PUBINST,
LIVESTOCK MARKET,2,COM,
LOCAL GOVERNMENT OFFICE,42,PUBINST,
LOCK,7,omit,
LOCK GATE,3,omit,
LOCK KEEPERS COTTAGE,11,HOUSING,
LOCK UP,5,omit,
LODGE,186,HOUSING,
LODGING HOUSE,69,HOUSING,this could include hotels which I've put under ENT
LODGINGS,2,HOUSING,
LOGGIA,35,omit,
LONGHOUSE,1,HOUSING,
LOOSE BOX,1,omit,
LUTHERAN CHURCH,4,ECC,
LYCH GATE,22,omit,
MACHINE HOUSE,1,MAN,check
MACHINE SHOP,2,MAN,
MACHINERY,5,omit,
MAGAZINE,2,omit,
MAGISTRATES COURT,15,PUBINST,
MAISONETTE,38,HOUSING,
MALT HOUSE,1,MAN,
MALTINGS,1,MAN,could now be commercial 
MANAGERS HOUSE,9,HOUSING,
MANOR,1,HOUSING,
MANOR HOUSE,23,HOUSING,
MANSE,9,HOUSING,
MANSION FLATS,26,HOUSING,
MANSION HOUSE,2,HOUSING,
MARINE ENGINEERING WORKS,1,IND,
MARKER STONE,1,omit,
MARKET,23,COM,but some may not have buildings
MARKET CROSS,1,omit,
MARKET HALL,6,COM,
MARKET HOUSE,1,COM,
MARKET PLACE,1,omit,
MARRIED QUARTERS,7,HOUSING,
MASTER SHIPWRIGHTS HOUSE,2,HOUSING,
MATCH FACTORY,7,MAN,
MATERNITY CLINIC,2,PUBINST,
MATERNITY HOSPITAL,5,PUBINST,
MAUSOLEUM,83,omit,
MEAT MARKET,2,COM,only if has buildings
MEDICAL CENTRE,4,PUBINST,
MEDICAL COLLEGE,9,EDU,also PUB/INST
MEETING HALL,19,PUBINST,
MEMORIAL HALL,4,PUBINST,
MERCHANTS HOUSE,4,HOUSING,
METAL FRAMED BUILDING,127,unknown,
METAL INDUSTRY SITE,1,IND,only if buildings
METAL WORKERS WORKSHOP,1,MAN,
METHODIST CHAPEL,19,ECC,
MEWS,66,HOUSING,
MILEPOST,5,omit,
MILESTONE,54,omit,
MILITARY AIRFIELD,1,omit,if has buildings then MIL
MILITARY BUILDING,1,MIL,
MILITARY CHAPEL,9,ECC,also MIL
MILITARY COLLEGE,7,EDU,also MIL
MILITARY HEADQUARTERS,7,MIL,
MILITARY HOSPITAL,5,PUBINST,also MIL
MILK DEPOT,1,COM,
MILKING PARLOUR,1,MAN,
MILL,9,MAN,
MILL HOUSE,5,HOUSING,
MINT,1,MAN,
MISSION,1,PUBINST,
MISSION CHURCH,10,ECC,
MISSION HALL,14,PUBINST,
MITHRAEUM,1,omit,
MOAT,13,omit,
MODEL DWELLING,33,HOUSING,
MODEL FARM,4,HOUSING,also AGR
MODEL SETTLEMENT,5,HOUSING,check
MONASTERY,2,ECC,
MONASTIC DWELLING,2,HOUSING,also ECC
MOORING BOLLARD,3,omit,
MORAVIAN CHAPEL,1,ECC,
MORTUARY,3,PUBINST,
MORTUARY CHAPEL,15,ECC,
MORTUARY HOUSE,1,PUBINST,
MOSAIC,1,omit,
MOSQUE,4,ECC,
MOTEL,2,ENT,
MOTOR VEHICLE ENGINEERING SITE,1,MAN,
MOTOR VEHICLE SHOWROOM,6,COM,
MOUND,1,omit,
MOUNTING BLOCK,7,omit,
MULTI STOREY CAR PARK,1,TRANS,
MULTI STOREY STABLE,1,ZOO,
MUNIMENT HOUSE,1,PUBINST,
MUNITION HOUSE,1,MIL,
MUNITIONS FACTORY,1,MAN,
Mural,1,omit,
MURAL RELIEF,1,omit,
MUSEUM,54,PUBINST,
MUSEUM SHIP,1,omit,
MUSIC HALL,8,ENT,
MUSIC ROOM,5,omit,probably only  attached to a building
MUSIC SCHOOL,8,EDU,
NATIONAL SCHOOL,9,EDU,
NAVAL COLLEGE,5,EDU,or MIL
NAVAL DOCKYARD,8,omit,if buildings then MIL
NAVAL OFFICERS HOUSE,1,HOUSING,also MIL
NEUROLOGY HOSPITAL,1,PUBINST,
NEWSPAPER OFFICE,9,MAN,
NIGHTCLUB,1,ENT,
NONCONFORMIST CHAPEL,11,ECC,
NONCONFORMIST CHURCH,4,ECC,
NONCONFORMIST MEETING HOUSE,3,PUBINST,also ECC
NUNNERY,30,ECC,
NURSERY,11,EDU,if school not garden
NURSERY GARDEN,2,omit,
NURSERY SCHOOL,11,EDU,
NURSES HOSTEL,10,HOUSING,also PUB/INST
NURSES TRAINING SCHOOL,1,EDU,
NURSING HOME,13,HOUSING,also PUB/INST
OASTHOUSE,2,omit,
OBELISK,62,omit,
OBSERVATORY,6,PUBINST,
OFFICE,739,COM,
OFFICERS MESS,11,MIL,
OFFICERS QUARTERS,8,HOUSING,also MIL
OFFICIAL RESIDENCE,1,HOUSING,
OIL ENGINE,1,omit,
OPEN AIR SCHOOL,6,EDU,omit if no building
OPEN HALL HOUSE,8,HOUSING,
OPERA HOUSE,3,ENT,
OPERATING THEATRE,1,PUBINST,
OPERATIONS BLOCK,2,PUBINST,
ORANGERY,19,GAR,usually attached to big house or in garden. Could omit
ORDNANCE FACTORY,6,MAN,
ORGAN FACTORY,2,MAN,
ORNAMENTAL BRIDGE,2,omit,
